id,domain,question,option1,option2,option3,option4,correctAnswerIndex,rationale
11,D1,"After an audit, management accepts the risks associated with a finding but chooses not to implement the recommended control. What is the IS auditor's responsibility?",Insist that the control be implemented immediately.,Document management’s decision and confirm their risk acceptance.,Report the disagreement to the external auditor.,Redraft the audit report to remove the finding.,1,The auditor's role is to ensure that management’s decision to accept the risk is documented and understood by the appropriate level of authority. The auditor does not force implementation.
12,D1,"When applying Continuous Auditing techniques, the key benefit is the ability to:",Eliminate the need for any manual audit procedures.,Obtain an audit opinion on the financial statements in real-time.,Detect control exceptions or anomalies closer to the time they occur.,Increase the independence of the audit function from IT management.,2,"The key benefit is the ability to detect control exceptions or anomalies closer to the time they occur, enabling immediate corrective action rather than waiting for an annual audit."
13,D1,"When using a Computer-Assisted Audit Technique (CAAT) to analyze log data, the IS auditor's MAIN objective is to:",Automatically fix any errors found in the system logs.,Perform data analysis more efficiently and identify anomalies or trends.,Replace the need for human judgment in audit procedures.,Provide real-time security alerts to the CISO.,1,CAATs and GAS are used to process large volumes of data more efficiently and identify anomalies or trends that manual analysis would miss.
14,D1,"When an IS auditor performs an audit of a fully automated system with no human intervention in the process, which audit technique is the MOST appropriate?",Manual control walkthroughs.,Attribute sampling of output reports.,Auditing around the computer (black-box testing).,"Auditing through the computer (white-box testing, using CAATs).",3,"Auditing through the computer (white-box testing), often using CAATs, is the only way to test the logic and controls within a fully automated, human-less system."
15,D1,"When using a generalized audit software (GAS) to extract data from a large database, the IS auditor's PRIMARY concern should be:",The cost of the GAS software.,The potential for the GAS to alter the production data.,The need to hire specialized GAS consultants.,The difficulty in converting the extracted data into a readable format.,1,The IS auditor must ensure the GAS software is run in a read-only manner to prevent the potential for the software to inadvertently alter or corrupt the production data.
16,D1,"During the planning phase of an audit, the auditor should review prior audit reports for the same area primarily to:",Ensure that new controls are recommended in this audit.,Avoid duplicating work that was already completed.,Understand historical risks and follow up on corrective actions.,Determine the exact sample size for the current audit.,2,Reviewing prior reports helps the auditor understand historical risks and prioritize follow-up on corrective actions management promised to implement.
17,D1,"Which type of audit sampling is most appropriate when the auditor's goal is to conclude on the effectiveness of a control (e.g., password changes occurred monthly)?",Discovery sampling.,Variable sampling.,Attribute sampling.,Statistical sampling.,2,"Attribute sampling (also known as compliance testing) is used to draw a conclusion on the rate of deviation from a control procedure (e.g., were passwords changed monthly: yes/no)."
18,D1,What is the PRIMARY benefit of applying a risk-based audit approach to IS audit planning?,It ensures the audit covers all systems and processes equally.,It maximizes audit resources by focusing on the highest risk areas.,It guarantees that no control weakness will be overlooked.,It reduces the time required for fieldwork.,1,A risk-based audit approach ensures that audit resources are maximized by focusing on the highest risk areas that could have the largest negative business impact.
19,D1,Which of the following is the most important consideration when an IS auditor relies on the work of internal auditors for a specialized IT area?,The internal auditors have used the same sampling methodology as the IS auditor.,The internal auditors are certified in that specialized IT area.,The internal audit function's independence and objectivity.,The cost savings realized by avoiding duplication of effort.,2,"The independence and objectivity of the internal audit function are the most critical factors when determining the reliability of their work, as required by ISACA standards."
20,D1,"During the audit closing meeting, which of the following is the MOST appropriate role for the IS auditor?",Negotiating the specific implementation dates for control remediation.,Obtaining management's agreement on the reported findings and recommendations.,"Providing new, technical recommendations not included in the draft report.","Formally issuing the final, signed audit report.",1,The primary purpose of the closing meeting is to ensure management agrees with the factual accuracy of the findings and accepts the recommendations before the final report is issued.
21,D1,An IS auditor is evaluating the organization's use of Continuous Monitoring (CM). The MOST significant advantage of CM over traditional periodic auditing is its ability to:,Significantly reduce the cost of IT security hardware.,Provide assurance that all IT system failures are immediately prevented.,Improve the timeliness of identification and response to control exceptions.,Eliminate the need for management to perform Control Self-Assessments (CSA).,2,"CM dramatically improves the timeliness of identifying and responding to control exceptions or anomalies by monitoring them in near real-time, unlike periodic auditing."
22,D2,Which governance process is primarily used to align IT strategy with the organization’s overall business strategies and objectives?,Risk management.,Performance measurement.,IT steering committee.,Security governance.,2,"The IT steering committee is typically responsible for high-level direction, oversight, and alignment of IT strategy with business goals, prioritizing IT investments accordingly."
23,D2,"Senior management is concerned about a major business function being reliant on a single, aging IT application. This concern is best addressed by which IT governance component?",Audit management.,IT risk management.,IT resource management.,Performance measurement.,1,"Managing the risk associated with relying on a single, aging application (often due to technical obsolescence or single point of failure) is a key concern of IT risk management."
24,D2,Which of the following is the most important element for the successful implementation and enforcement of a formal information security program?,The use of advanced security technology.,"Formal, documented security procedures.",Active and visible support from senior management.,Mandatory annual security awareness training.,2,"Active and visible support from senior management provides the funding, authority, and commitment necessary to enforce security policies and ensure the program is taken seriously across the organization."
25,D2,A critical IT project is consistently behind schedule and over budget. Which IT governance mechanism should management use to formally review and potentially reset the project's direction?,The human resources department.,The change advisory board (CAB).,The steering committee (or program/project management office).,The internal audit team.,2,"The Steering Committee has the authority to make high-level decisions on project status, resource allocation, and continuation/cancellation, addressing governance failures."
26,D2,The Board of Directors asks the CISO for a concise summary of the organization's top five IT risks. This request demonstrates the importance of which governance component?,Strategic planning.,Risk awareness and communication.,IT procurement management.,IT portfolio management.,1,"This is a demonstration of risk awareness and communication, where senior leadership is seeking a clear, concise understanding of the major IT risks affecting the business."
27,D2,The MOST important reason for the IS Audit Charter to be approved by the Board of Directors and/or the Audit Committee is to:,Guarantee the audit function a sufficient budget.,Ensure the audit function's independence and authority.,Determine the specific testing methods used in the audit.,Satisfy regulatory requirements for an internal audit function.,1,"Approval by the highest level of governance is necessary to formally grant the audit function its independence and authority, which is essential for objectivity."
28,D2,The IT steering committee's PRIMARY role is to:,Execute the IT strategic plan.,Provide assurance on the effectiveness of IT controls.,Oversee and prioritize IT projects and investments.,Develop and maintain the network infrastructure.,2,"The IT steering committee is a governance body whose primary role is to oversee, prioritize, and manage the portfolio of IT projects and investments."
29,D2,"IT Risk Management aims to identify, assess, and manage IT-related risks. What is the first step in a formal IT risk management process?",Implementing security controls to mitigate high risks.,Establishing the context and scope for the risk assessment.,Performing a quantitative analysis of asset values.,Creating a risk register and assigning risk owners.,1,The formal IT risk management process begins by establishing the context and scope to define what the risk assessment will cover and the criteria for evaluation.
30,D2,The primary goal of an organization's IT portfolio management process is to:,Ensure that all IT projects are completed on time and within budget.,Maximize the value of IT investments and align them with business strategy.,Standardize all hardware and software used across the organization.,Manage vendor relationships and service contracts.,1,IT portfolio management ensures that the organization's collective IT investments maximize value and are strategically aligned with overall business goals.
31,D2,An organization's IT strategy must be evaluated for alignment with the organization's overall business strategies and objectives. Who is PRIMARILY responsible for performing this evaluation?,The Chief Information Officer (CIO).,The Internal Audit function.,The Board of Directors.,The IT Steering Committee.,3,The IT Steering Committee is the governance body best positioned to assess whether the IT strategy and objectives are aligning with and supporting the organization's business strategy.
32,D2,Control Self-Assessment (CSA) is NOT a replacement for regular audits because:,It is often too expensive for small organizations to implement.,It is not approved by the Board of Directors.,It lacks the necessary independence to provide objective assurance.,"It focuses only on technical controls, not business process controls.",2,"CSA is not a replacement because it is performed by management and functional staff, meaning it lacks the necessary independence of an internal or external audit."
33,D2,"Who is ultimately accountable for the appropriate maintenance of security controls over an organization's information assets, even when daily tasks are delegated to security administrators?",The Chief Information Security Officer (CISO).,The Chief Executive Officer (CEO).,The data and system owners.,The IT Operations Manager.,2,"The data and system owners retain the ultimate accountability for the security of their assets, even if the execution of tasks is delegated."
34,D2,Management's decision to accept the risk of a flood because the organization's data center is on the 10th floor demonstrates the application of a:,Quantitative risk assessment.,Risk mitigation strategy.,Risk acceptance decision.,Risk transference strategy.,2,"By choosing not to implement controls against the flood risk (or any other risk), management is making a formal risk acceptance decision."
35,D2,The MOST critical activity for the IT governance committee to ensure IT risk management is effective is to:,Approve all purchases of security software.,Ensure that IT risk is managed in alignment with the organization's overall business risk appetite.,Conduct the annual penetration test.,Maintain the organization's network infrastructure.,1,Governance must ensure that IT risk decisions and management strategies are aligned with the organization's overall business risk appetite set by the Board.
36,D2,Who is responsible for defining and documenting the organizational IT risk appetite?,The Chief Information Officer (CIO).,The IT Risk Management team.,The Board of Directors/Senior Management.,The Internal Audit Manager.,2,The Board of Directors/Senior Management are responsible for setting the organization's strategic direction and defining the overall IT risk appetite.
37,D2,The IT steering committee is reviewing the progress of a large IT project. Which action BEST helps the committee determine if the project is delivering expected business value?,Reviewing the number of lines of code written.,Comparing project spending against the allocated budget.,Assessing key performance indicators (KPIs) defined in the business case.,Interviewing the project manager about team morale.,2,Reviewing the Key Performance Indicators (KPIs) defined in the project's original business case is the best way to determine if the project is actually delivering expected business value.
38,D2,"To ensure that IT policies and practices comply with legal and regulatory requirements, the IS auditor should first:",Interview the Chief Information Officer (CIO).,Review the organization's legal and regulatory compliance register.,Test a sample of IT transactions for policy adherence.,Compare the current IT policies against industry best practices.,1,The auditor must first review the organization's official legal and regulatory compliance register to understand the specific laws and regulations that apply to the organization.
39,D3,"In a system development project, what is the PRIMARY purpose of the system test phase?",To ensure that the system meets the pre-defined user requirements.,To check if individual program modules function correctly.,To verify that all system interfaces and components work together as designed.,To confirm that the system can handle expected peak transaction volumes.,2,"System testing verifies that all components (interfaces, modules, databases) of the entire system function correctly and interoperate as a whole, whereas UAT checks business requirements and Unit Testing checks individual modules."
40,D3,The IS auditor is reviewing a request for proposal (RFP) for a new payroll system. The auditor's MAIN concern at this stage should be ensuring the RFP:,Specifies all mandatory system security requirements.,Includes a detailed project timeline and budget.,Is sent to a minimum of three potential vendors.,Complies with the organization's corporate branding guidelines.,0,"The auditor's primary role is to ensure that the RFP specifies all necessary security and control requirements, making sure they are built in from the beginning."
41,D3,"During an agile development project, the IS auditor should ensure that which of the following is present in every sprint/iteration?",Full user acceptance testing (UAT).,Integrated security and control requirements.,Final sign-off from the steering committee.,Deployment of the code to the production environment.,1,"In Agile, the IS auditor must ensure that integrated security and control requirements are addressed and tested within every sprint to avoid costly remediation later in the project."
42,D3,The MAIN risk associated with giving developers access to production libraries for debugging purposes is:,Increased compilation errors.,The potential for unauthorized or undocumented changes to production code.,Increased licensing costs for development tools.,Slower deployment times due to concurrent access.,1,"Granting developers access to production systems, even for debugging, creates the risk of unauthorized or undocumented changes that bypass formal change control procedures."
43,D3,Which testing phase occurs last in the typical Waterfall System Development Life Cycle (SDLC) and is focused on validating that the system meets the ultimate business requirements and user needs?,Unit testing.,User Acceptance Testing (UAT).,Integration testing.,System testing.,1,"User Acceptance Testing (UAT) is the last major testing phase, where end-users verify that the system meets their ultimate business needs and requirements."
44,D3,Which control is MOST effective at preventing unauthorized code from being promoted from the development environment to the production environment?,Mandatory annual security training for all developers.,Segregation of Duties between development and production release staff.,Automated logging of all code changes.,Encrypting the production server’s hard drives.,1,Segregation of Duties (SoD) between developers and those who promote code to production is the strongest control against unauthorized code changes.
45,D3,"When acquiring a commercial off-the-shelf (COTS) application, the IS auditor should MOST ensure that the organization performs:",Detailed unit testing on all vendor code.,A thorough risk assessment of vendor security and stability.,A complete rewrite of the application's user interface.,Custom development to meet all unique business requirements.,1,"The auditor must focus on the risk introduced by the third party, ensuring a thorough risk assessment of the vendor's security and stability before the acquisition."
46,D3,The IS auditor is reviewing the feasibility study for a new system. The auditor should be MOST concerned if the study lacks:,An analysis of whether the proposed system is technically and economically viable.,A list of all end-users who will require training.,The specific programming language to be used.,A final contract signed with the preferred vendor.,0,The auditor should ensure the feasibility study analyzes whether the system is both technically viable (can it be built?) and economically viable (is the benefit worth the cost?).
47,D3,The MAIN purpose of using a pilot conversion strategy when implementing a new system is to:,Convert all data over a single weekend to minimize disruption.,"Test the system in a production environment with a small, focused group of users.",Run the old and new systems simultaneously for a short period.,Immediately stop the old system and start the new system enterprise-wide.,1,"Pilot conversion tests the new system in a real-world setting with a small group of users before a full rollout, providing a controlled test environment."
48,D3,The MOST important reason to involve the IS auditor during the requirements definition phase of a new system project is to:,Ensure that the project stays within its allocated budget.,Test the application code before it is compiled.,Incorporate necessary audit and control features into the system design.,Approve the vendor selection process.,2,Auditor involvement early in the SDLC is crucial to ensure necessary audit and control features are incorporated into the system design rather than bolted on later.
49,D3,The MOST effective control to ensure that all business requirements identified in the design phase of an SDLC project have been met is:,Unit testing.,User Acceptance Testing (UAT).,Stress testing.,Integration testing.,1,"User Acceptance Testing (UAT) is the phase where the business confirms that the system fulfills the original, specific business requirements."
50,D3,The IS auditor is reviewing the transition from an old system to a new one using a parallel conversion strategy. The primary disadvantage of this approach is:,Increased risk of data corruption.,The high cost of operating and maintaining two systems simultaneously.,The inability to fully test the new system.,Increased user resistance to the new system.,1,"Parallel conversion involves running both the old and new systems simultaneously, which is safe but incurs the high cost of operating two complete systems for the duration of the transition."
51,D3,The IS auditor is reviewing the transition from an old system to a new one using a phased approach (staged rollout). The IS auditor is MOST concerned about:,The increased training cost for the phased groups.,The lack of simultaneous cutover for all users.,The difficulty in maintaining interfaces between the old system and the new system during the transition.,The potential for the project to run over budget.,2,The main difficulty in a phased approach is the maintenance of interfaces and data synchronization between the old system (still in use by some) and the new system (used by others).
52,D3,The MAIN purpose of conducting a post-implementation review of a new system is to:,Determine if all project costs were correctly allocated.,Ensure that the system meets its original business objectives and controls are functioning.,Prepare the project team for the next development phase.,Develop future user training materials.,1,The post-implementation review is conducted after the system goes live to confirm the system's operational effectiveness and ensure it achieved its original business objectives.
53,D4,"An IS auditor is reviewing an organization's business continuity plan (BCP). To validate the Recovery Time Objective (RTO) for a critical financial system, the auditor should primarily review the:",Documentation outlining maximum data loss acceptable (RPO).,Service Level Agreements (SLAs) with external vendors.,Business Impact Analysis (BIA) results.,Current inventory of backup media stored offsite.,2,"The Business Impact Analysis (BIA) determines the criticality of the system and defines the maximum acceptable downtime, which is the Recovery Time Objective (RTO)."
54,D4,Which of the following network components operates at the highest layer of the OSI model and is considered the MOST intelligent for directing data packets across different networks?,Hub,Repeater,Switch,Router,3,"The Router is the most intelligent device, operating at the Network Layer (Layer 3) of the OSI model, using IP addresses to direct packets across different logical networks."
55,D4,"Which type of firewall is considered the weakest because it only allows or denies entry to data packets based on predefined rules like IP address or port number, without inspecting the payload?",Application Gateway firewall.,Packet-filtering firewall.,Stateful Inspection firewall.,Next-Generation firewall.,1,"The Packet-filtering firewall is the simplest and weakest, making decisions only on header information (IP, port) without examining the packet payload or connection state."
56,D4,"When evaluating a cloud service provider's physical security controls, what should the IS auditor's MOST important concern be?",The cost of the service being overly complex.,The use of older server hardware.,The lack of a clear Service Level Agreement (SLA).,The segregation of the client's data from other tenants' data.,3,"When using shared cloud services, the segregation of the client's data from other tenants' data is the fundamental security control to prevent unauthorized access."
57,D4,What is the MOST accurate definition of the Recovery Point Objective (RPO)?,The maximum acceptable amount of data loss after a disruption.,The targeted duration for restoring a system after a failure.,The point in time to which systems must be recovered.,The total cost of a business interruption event.,0,RPO (Recovery Point Objective) defines the maximum acceptable amount of data loss (measured in time) that the organization can tolerate after a disruption.
58,D4,"In an organization that cannot tolerate any loss of transactions, which data replication method provides the LOWEST Recovery Point Objective (RPO)?",Differential backups.,Remote journaling.,Data mirroring (synchronous replication).,Incremental backups.,2,Data mirroring (synchronous replication) provides the lowest RPO (near-zero) because it writes data simultaneously to both the primary and redundant systems.
59,D4,An IS auditor observes that the guest Wi-Fi network is logically segmented but uses the same physical cable infrastructure as the production network. What is the auditor's PRIMARY concern?,Excessive network latency for guests.,The potential for a physical security breach.,The possibility of an attacker bridging the logical separation.,High maintenance cost for network components.,2,Using the same physical infrastructure increases the risk that a sophisticated attacker could bridge the logical separation and gain unauthorized access to the production network.
60,D4,Which network device simply receives a signal and re-transmits it to allow the signal to travel longer distances?,Router.,Switch.,Repeater.,Bridge.,2,A Repeater is a simple physical layer device that regenerates and re-transmits a signal to extend the distance it can travel.
61,D4,Which type of firewall keeps track of the destination of each outbound packet and only allows return traffic from outside that is a direct response to internal traffic?,Application Gateway firewall.,Packet-filtering firewall.,Stateful Inspection firewall.,Proxy firewall.,2,"The Stateful Inspection firewall tracks the state of active connections, only allowing inbound packets that are part of an established, internal-initiated session."
62,D4,"An IS auditor finds that a full backup of all critical systems is performed weekly, with incremental backups daily. The organization's RPO is 48 hours. What is the auditor's MOST significant finding?",The incremental backups are inadequate for the RPO.,The backup schedule is compliant with the RPO.,The full backup schedule violates the RPO.,The incremental backups should be replaced by differential backups.,2,"A weekly full backup means there is a gap of up to 7 days, which is far greater than the 48-hour RPO. The full backup schedule violates the RPO."
63,D4,What is the MOST important step an organization must take before any detailed Business Continuity Plan (BCP) or Disaster Recovery Plan (DRP) activities begin?,Sign contracts with hot site providers.,Define the Recovery Time Objective (RTO) for all systems.,Get executive management approval for the BCP/DRP budget.,Conduct a thorough Business Impact Analysis (BIA).,3,"Conducting a thorough Business Impact Analysis (BIA) is the foundational step that informs all subsequent BCP/DRP efforts by defining criticality, RTO, and RPO."
64,D4,"When performing a Business Impact Analysis (BIA), the PRIMARY objective is to:",Determine the total cost of all IT system replacements.,Identify and document critical business processes and the impact of their disruption.,Calculate the budget for the Business Continuity Plan (BCP).,Test the effectiveness of the disaster recovery site.,1,"The BIA's purpose is to identify critical processes and determine the quantifiable impact of their disruption, setting the stage for recovery planning."
65,D4,Which control aims to ensure that executable code has not been modified after it was signed by the software vendor?,Code signing.,Remote logging.,Automated backups.,Boundary firewalls.,0,"Code signing involves digitally signing the executable, allowing the system to verify that the code's integrity has not been compromised since it was signed."
66,D4,The primary distinction between a hot site and a cold site in disaster recovery planning is the presence of:,Dedicated staff ready for immediate relocation.,Pre-installed hardware and communication links.,Security guards and perimeter fencing.,Proximity to the primary data center.,1,"A hot site includes all the necessary pre-installed hardware and communication links required for near-immediate switchover, while a cold site is an empty facility."
67,D4,An IS auditor notes that the organization relies on an old hub device in its core network infrastructure. The primary risk this device introduces is:,"It broadcasts all data to all connected devices, increasing collision risk and reducing security.","It operates only at the Application Layer, slowing down traffic.",It cannot connect different network segments.,It requires complex configuration and management.,0,"A hub is a basic device that acts as a central point by broadcasting all received data to all connected devices, which creates unnecessary traffic and poses a security risk."
68,D4,"If an organization's Recovery Time Objective (RTO) for a mission-critical system is four hours, the IS auditor should recommend a disaster recovery solution that is:","A cold site, as it is the most cost-effective.","A hot site, as it offers the fastest recovery time.",Remote journaling to a separate data center.,Daily full backups to offsite storage.,1,A hot site is the only option listed that can practically meet a very aggressive RTO of four hours because it is fully equipped and ready for immediate operation.
69,D4,The IS auditor is MOST concerned about the Restoration Process because:,It is not automated.,The recovery requires multiple tapes and is difficult to coordinate.,The backups are stored on-site.,The backup media is encrypted.,1,"The reliance on multiple tapes (full + differentials) increases complexity and the risk of failure during the actual restoration process, which is the auditor's primary concern."
70,D4,The primary distinction between a hot site and a warm site in disaster recovery planning is the:,Geographic distance from the primary data center.,Readiness of hardware and current data for immediate operation.,Cost of implementation and maintenance.,Maximum acceptable downtime (RTO) they can support.,1,A hot site has all necessary hardware and communication links pre-installed and ready to go with near-current data. A warm site has hardware but requires more time and effort to load current data and fully configure.
71,D4,An IS auditor is reviewing controls over Open Source Software (OSS) used in a commercial product. The MOST immediate risk to the organization is:,The lack of available commercial support.,The lack of internal developer skills for the language.,The potential for legal action due to violation of the OSS license terms.,The difficulty in predicting future development roadmaps.,2,"The potential for legal action due to license violation (e.g., using a restrictive license improperly) is usually considered the most immediate and severe corporate risk."
72,D4,A programmer is permitted to access the production library solely for debugging a critical error. This activity introduces the highest risk of:,Unauthorized change and loss of integrity of the production code.,Increased application downtime due to slow access.,Exposure of the programmer's personal information.,Violation of the organization’s licensing agreements.,0,This activity violates SoD and introduces the highest risk of the programmer making an unauthorized or integrity-compromising change to the live code.
73,D4,Which function is responsible for ensuring that all IT operations and maintenance practices support the organization's stated objectives?,The Change Advisory Board (CAB).,IT Governance.,IT Operations Management.,The Internal Audit Function.,2,"IT Operations Management is the function directly responsible for the day-to-day execution and maintenance practices, ensuring they meet the strategic objectives."
74,D4,The IS auditor observes that the organization's tape management system lacks proper tracking of media stored offsite. The primary risk this creates is:,Theft of the tapes by unauthorized staff.,Inability to restore data during a disaster due to missing media.,Increased costs for offsite storage.,Violation of the organization’s RTO.,1,"The primary risk of poor tape tracking is the inability to quickly locate and restore the necessary media during a disaster, making the disaster recovery plan ineffective."
75,D4,The primary distinction between a hot site and a cold site is the presence of:,Dedicated staff ready for immediate relocation.,Pre-installed hardware and communication links.,Security guards and perimeter fencing.,Proximity to the primary data center.,1,"A hot site includes all the necessary pre-installed hardware and communication links required for near-immediate switchover, while a cold site is an empty facility."
76,D5,Which of the following is the basis upon which logical access controls should be designed and developed within an organization?,"Compliance with regulatory standards (e.g., GDPR, HIPAA).",The management-approved security policy.,The results of the most recent vulnerability assessment.,"Industry best-practice frameworks (e.g., NIST, ISO 27001).",1,"The management-approved security policy establishes the rules, goals, and framework that serve as the basis for designing and implementing specific access controls."
77,D5,The security control MOST critical for reducing the risk of a single employee committing fraud and then covering it up is:,Two-factor authentication.,Strong encryption protocols.,Segregation of Duties (SoD).,Automated audit trail logging.,2,"Segregation of Duties (SoD) prevents a single individual from controlling all aspects of a critical process (e.g., authorizing a payment and issuing the payment), which is the core defense against cover-up fraud."
78,D5,The MOST important reason for an IS auditor to ensure that Quality Assurance (QA) functions report to an independent function outside of the IT development team is to ensure:,Strict adherence to coding standards.,Independence of quality assurance tests.,Faster project turnaround times.,Better integration with user acceptance testing (UAT).,1,Separating QA from the development team ensures the independence of the quality assurance tests and prevents conflicts of interest that could compromise testing objectivity.
79,D5,Who is PRIMARILY responsible for reviewing the appropriateness of user access rights to a specific application or data set?,The security administrator.,The Internal Audit function.,The CISO.,The data owner.,3,The data owner is ultimately accountable for the data and is therefore responsible for reviewing and approving access rights to that data.
80,D5,The first step an IS auditor should take when reviewing an organization's IT security baseline (minimum security requirements) is to:,Determine if the baseline sufficiently protects information assets and addresses security requirements.,Validate adherence to the baseline by testing security controls.,Compare the baseline against industry best practice frameworks.,Recommend that the baseline be approved by the audit committee.,0,The first step is to review the baseline and determine if it is appropriate and sufficient to protect assets and address the organization's security and compliance needs.
81,D5,"The MOST effective method for securely destroying sensitive data stored on magnetic media, such as backup tapes, when physical destruction is not feasible, is:",Reformatting the tape multiple times.,Overwriting the data with random characters.,Degaussing (demagnetization).,Encrypting the tape and deleting the key.,2,"Degaussing (demagnetization) uses a strong magnetic field to erase/neutralize the data stored on magnetic media, which is preferred over overwriting or encryption when destruction is required but physical shredding is not an option."
82,D5,The security administrator reports that several high-risk systems still use default configuration settings provided by the vendor. The IS auditor should be MOST concerned about the lack of proper:,Physical access controls.,Patch management procedures.,Configuration management.,Disaster recovery planning.,2,Failure to change vendor-supplied default settings (including passwords or network configurations) is a fundamental failure in configuration management and exposes the system to known risks.
83,D5,Which action represents the most effective security measure when a shared login ID is used across a department (a condition the auditor has been unable to change)?,Implementing mandatory complex passwords.,Implementing a strong control to log and monitor all activities under that ID.,Requiring daily password changes.,Using multi-factor authentication for the shared ID.,1,"Since accountability is lost with shared IDs, the best compensatory control is to log and monitor all activities to allow post-event investigation and increase user accountability."
84,D5,The first and MOST critical step in establishing a formal data classification program is:,Performing a preliminary risk impact analysis (BIA).,"Defining the classification levels (e.g., Public, Internal, Confidential).",Establishing formal ownership of all information assets.,Implementing technical controls like encryption.,2,"Establishing formal ownership is the foundational step, as the owner is necessary to determine the data's criticality, classification, and protection requirements."
85,D5,The PRIMARY purpose of Code Signing software is to:,Verify that the code has been compiled without errors.,Provide assurance that the executable code has not been tampered with after being digitally signed.,Automatically encrypt the source code before deployment.,Enforce Segregation of Duties within the development team.,1,"Code signing is a digital signature that guarantees the integrity of the code, assuring the user that the executable file has not been tampered with since the vendor signed it."
86,D5,What is the MOST crucial input for the ongoing review of user access rights within an established security program?,Changes in the organization’s regulatory compliance profile.,"Changes in employee job responsibilities (e.g., promotions, transfers).",The results of the annual penetration test.,The latest vulnerability scan report.,1,"Changes in job responsibilities (e.g., transfer, promotion) are the most frequent cause of 'role creep' and mandate an immediate review of access rights."
87,D5,Which device is considered a 'smart' central point that sends a message only to the required device by looking up its MAC address?,Hub.,Repeater.,Switch.,Router.,2,A Switch is an intelligent device that forwards data only to the intended recipient by reading the MAC address (Layer 2 of the OSI model).
88,D5,"Which type of firewall works at the Application Layer of the OSI model, inspecting the content of the packet to make intelligent decisions about which application-specific commands are allowed?",Packet-filtering firewall.,Application Gateway firewall (or proxy firewall).,Stateful Inspection firewall.,Network Access Control (NAC).,1,An Application Gateway firewall (proxy firewall) operates at the Application Layer (Layer 7) and performs deep packet inspection of the content and application commands.
